Name,Iata Code,Latitude,Longitude
Simpang Tiga, PKU,0.4646,101.4466
Abdul Rachman Saleh, MLG,-7.93,112.7114
Radin Inten II, TKG,-5.2426,105.1761
Sultan Hasanuddin Int'l, UPG,-5.0589,119.5457
Palonegro, BGA,7.1277,-73.1809
Benin, BNI,6.3172,5.6037
Hat Yai Int'l, HDY,6.9363,100.3938
Ibadan, IBA,7.3603,3.9738
Ilorin Int'l, ILR,8.4354,4.4948
Madurai, IXM,9.8372,78.0911
Kilimanjaro Int'l, JRO,-3.4244,37.0652
Kananga, KGA,-5.9002,22.4783
Kumasi, KMS,6.7146,-1.5926
Eloy Alfaro Int'l, MEC,-0.9496,-80.6834
Mbuji Mayi, MJM,-6.1248,23.5721
Sultan Mahmud Badaruddin II, PLM,-2.9,104.6991
Achmad Yani, SRG,-6.9787,110.3786
Presidente Castro Pinto Int'l, JPA,-7.1462,-34.9489
Augusto Severo Int'l, NAT,-5.8991,-35.2488
Marechal Cunha Machado Int'l, SLZ,-2.5835,-44.2362
Teresina-Senador Petronio Portella, THE,-5.0635,-42.8212
Husein Sastranegara Int'l, BDO,-6.9004,107.5756
Maceio/Zumbi dos Palmares Int'l, MCZ,-9.5149,-35.7925
Centre Spatial Guyanais, NULL,5.2394,-52.7684
Kosrae Island, KSA,5.352,162.957
Funafuti Int'l, FUN,-8.5249,179.1954
Phuket Int'l, HKT,8.1077,98.306
Bouaké, BYK,7.7361,-5.0689
Julius Nyerere Int'l, DAR,-6.8667,39.2075
Presidente Nicolau Lobato Int'l, DIL,-8.5493,125.5249
Goma Int'l, GOM,-1.6583,29.2401
Garoua Int'l, GOU,9.3307,13.3724
Honiara Int'l, HIR,-9.4276,160.0459
Nauru Int'l, INU,-0.545,166.9161
Libreville Leon M'ba Int'l, LBV,0.4571,9.4102
Lomé Tokoin, LFW,6.1669,1.2509
Marshall Islands Int'l, MAJ,7.0681,171.2819
Aden Adde Int'l, MGQ,2.0164,45.3036
Minangkabau Int'l, PDG,-0.786,100.2855
Pohnpei Int'l, PNI,6.9813,158.2033
Roman Tmetuchl Int'l, ROR,7.3645,134.533
Chuuk Int'l, TKK,7.4576,151.842
Bonriki Int'l, TRW,1.3807,173.146
Wewak Int'l, WWK,-3.5802,143.6691
Yap Int'l, YAP,9.4979,138.0864
Cayenne – Rochambeau, CAY,4.8213,-52.3638
Tabatinga Int'l, TBT,-4.2503,-69.9395
Boa Vista Int'l, BVB,2.8412,-60.6922
Polonia Int'l, MES,3.5666,98.6762
Bangui M'Poko Int'l, BGF,4.3989,18.5241
Cassidy Int'l, CXI,1.9862,-157.3498
Trivandrum Int'l, TRV,8.4765,76.9189
Bujumbura Int'l, BJM,-3.322,29.321
Katunayake Int'l, CMB,7.1781,79.8853
Enrique Malek Int'l, DAV,8.3913,-82.4318
Aba Tenna D. Yilma Int'l, DIR,9.6127,41.8578
Bali Int'l, DPS,-8.7448,115.1623
Entebbe Int'l, EBB,0.0449,32.4428
Kisangani Bangoka Int'l, FKI,0.4922,25.3303
Kuching Int'l, KCH,1.4872,110.3418
Kigali Int'l, KGL,-1.9637,30.1349
Pengel Int'l, PBM,5.456,-55.1999
Penang Int'l, PEN,5.2927,100.2658
Port Harcourt Int'l, PHC,5.007,6.9499
Roberts Int'l, ROB,6.2418,-10.3531
Zamboanga Int'l, ZAM,6.9198,122.0624
Gov. Jorge Teixeira de Oliveira Int'l, PVH,-8.7144,-63.8985
Cheddi Jagan Int'l, GEO,6.4986,-58.2541
Eldoret Int'l, EDL,0.4051,35.2237
Abuja Int'l, ABV,9.0044,7.2703
Kota Kinabalu Int'l, BKI,5.9229,116.0511
Nacional Tobías Bolaños, SYQ,9.9583,-84.1386
Juanda Int'l, SUB,-7.3836,112.777
Mariscal Sucre Int'l, UIO,-0.1456,-78.49
Abidjan Port Bouet, ABJ,5.2544,-3.9322
Kotoka Int'l, ACC,5.607,-0.1714
Bole Int'l, ADD,8.9817,38.7932
Brunei Int'l, BWN,4.9455,114.9331
Conakry, CKY,9.5742,-13.6211
Alfonso Bonilla Aragón Int'l, CLO,3.5433,-76.3851
Cotonou Cadjehon, COO,6.3582,2.3838
Kinshasa N Djili Int'l, FIH,-4.3892,15.4465
Freetown Lungi, FNA,8.6154,-13.2002
Simon Bolivar Int'l, GYE,-2.1583,-79.887
Luanda 4 de Fevereiro, LAD,-8.8483,13.2348
Lagos Murtala Muhammed, LOS,6.5783,3.3211
José María Córdova, MDE,6.171,-75.427
Moi Int'l, MBA,-4.0327,39.6027
Port Moresby Int'l, POM,-9.4387,147.2113
Tocumen Int'l, PTY,9.0669,-79.3871
São Tomé Salazar, TMS,0.3747,6.7128
Zanzibar, ZNZ,-6.2186,39.2223
Val de Caes Int'l, BEL,-1.3897,-48.4796
Pinto Martins Int'l, FOR,-3.7786,-38.5407
Gilberto Freyre Int'l, REC,-8.1316,-34.9183
Eduardo Gomes Int'l, MAO,-3.0321,-60.0461
Yaoundé Nsimalen Int'l, NSI,3.7148,11.548
Male Int'l, MLE,4.1887,73.5274
Francisco Bangoy Int'l, DVO,7.1305,125.6451
Seychelles Int'l, SEZ,-4.6711,55.5116
Kuala Lumpur Int'l, KUL,2.7475,101.7139
Singapore Changi, SIN,1.3562,103.9864
Eldorado Int'l, BOG,4.6988,-74.1434
Jomo Kenyatta Int'l, NBO,-1.3305,36.9251
Soekarno-Hatta Int'l, CGK,-6.1266,106.6543
